label|cell|value|extra
qwen35-0.8b-4bit|load_s|0.7|
qwen35-0.8b-4bit|prefill_tps|5333.3|prompt_toks=848
qwen35-0.8b-4bit|decode_tps|478.2|ntok=128
qwen35-0.8b-4bit|ttft_cold_ms|1775|head=Subsystem 11 reported state change 156 w
qwen35-0.8b-4bit|ttft_warm_ms|28|
qwen35-0.8b-4bit|ttft_extend_ms|80|
qwen35-0.8b-4bit|ttft_restart_ms|1776|head=Subsystem 11 reported state change 156 w
gemma4-e4b-4bit|load_s|0.7|
gemma4-e4b-4bit|prefill_tps|2061.0|prompt_toks=845
gemma4-e4b-4bit|decode_tps|115.4|ntok=128
gemma4-e4b-4bit|ttft_cold_ms|5888|head=Subsystem 8 appears in log entry 42.
gemma4-e4b-4bit|ttft_warm_ms|59|
gemma4-e4b-4bit|ttft_extend_ms|109|
gemma4-e4b-4bit|ttft_restart_ms|5909|head=Subsystem 8 appears in log entry 42.
gemma3-12b-4bit|load_s|1.8|
gemma3-12b-4bit|prefill_tps|503.3|prompt_toks=846
gemma3-12b-4bit|decode_tps|61.2|ntok=128
gemma3-12b-4bit|ttft_cold_ms|39778|head=Subsystem 8 appears in log entry 42.
gemma3-12b-4bit|ttft_warm_ms|132|
gemma3-12b-4bit|ttft_extend_ms|12494|
gemma3-12b-4bit|ttft_restart_ms|40582|head=Subsystem 8 appears in log entry 42.
gemma4-12b-4bit|load_s|2.3|
gemma4-12b-4bit|prefill_tps|509.3|prompt_toks=849
gemma4-12b-4bit|decode_tps|39.1|ntok=128
gemma4-12b-4bit|ttft_cold_ms|29716|head=Subsystem 8 appears in log entry 42.
gemma4-12b-4bit|ttft_warm_ms|143|
gemma4-12b-4bit|ttft_extend_ms|317|
gemma4-12b-4bit|ttft_restart_ms|30771|head=Subsystem 8 appears in log entry 42.
gemma4-26b-a4b-qat-4bit|load_s|3.3|
gemma4-26b-a4b-qat-4bit|prefill_tps|1391.8|prompt_toks=849
gemma4-26b-a4b-qat-4bit|decode_tps|116.2|ntok=128
gemma4-26b-a4b-qat-4bit|ttft_cold_ms|10682|head=Subsystem 8 appears in log entry 42.
gemma4-26b-a4b-qat-4bit|ttft_warm_ms|88|
gemma4-26b-a4b-qat-4bit|ttft_extend_ms|190|
gemma4-26b-a4b-qat-4bit|ttft_restart_ms|10535|head=Subsystem 8 appears in log entry 42.
qwen36-27b-mtp-4bit|load_s|3.5|
qwen36-27b-mtp-4bit|prefill_tps|232.6|prompt_toks=848
qwen36-27b-mtp-4bit|decode_tps|29.2|ntok=128
qwen36-27b-mtp-4bit|ttft_cold_ms|50251|head=Subsystem 8 appears in log entry 42.
qwen36-27b-mtp-4bit|ttft_warm_ms|142|
qwen36-27b-mtp-4bit|ttft_extend_ms|1377|
qwen36-27b-mtp-4bit|ttft_restart_ms|50656|head=Subsystem 8 appears in log entry 42.
