label|cell|value|extra
qwen35-0.8b-4bit|load_s|0.6|
qwen35-0.8b-4bit|prefill_tps|5047.6|prompt_toks=848
qwen35-0.8b-4bit|decode_tps|481.4|ntok=128
qwen35-0.8b-4bit|ttft_cold_ms|1769|head=Subsystem 11 reported state change 156 w
qwen35-0.8b-4bit|ttft_warm_ms|31|
qwen35-0.8b-4bit|ttft_extend_ms|87|
qwen35-0.8b-4bit|ttft_restart_ms|1779|head=Subsystem 11 reported state change 156 w
gemma4-e4b-4bit|load_s|0.6|
gemma4-e4b-4bit|prefill_tps|2096.8|prompt_toks=845
gemma4-e4b-4bit|decode_tps|117.1|ntok=128
gemma4-e4b-4bit|ttft_cold_ms|5866|head=Subsystem 8 appears in log entry 42.
gemma4-e4b-4bit|ttft_warm_ms|225|
gemma4-e4b-4bit|ttft_extend_ms|91|
gemma4-e4b-4bit|ttft_restart_ms|660|head=Subsystem 8 appears in log entry 42.
gemma3-12b-4bit|load_s|0.7|
gemma3-12b-4bit|prefill_tps|9296.7|prompt_toks=846
gemma3-12b-4bit|decode_tps|61.2|ntok=128
gemma3-12b-4bit|ttft_cold_ms|12748|head=Subsystem 8 appears in log entry 42.
gemma3-12b-4bit|ttft_warm_ms|471|
gemma3-12b-4bit|ttft_extend_ms|325|
gemma3-12b-4bit|ttft_restart_ms|2744|head=Subsystem 8 appears in log entry 42.
gemma4-12b-4bit|load_s|1.2|
gemma4-12b-4bit|prefill_tps|512.4|prompt_toks=849
gemma4-12b-4bit|decode_tps|39.7|ntok=128
gemma4-12b-4bit|ttft_cold_ms|29542|head=Subsystem 8 appears in log entry 42.
gemma4-12b-4bit|ttft_warm_ms|460|
gemma4-12b-4bit|ttft_extend_ms|690|
gemma4-12b-4bit|ttft_restart_ms|16549|head=Subsystem 8 appears in log entry 42.
gemma4-26b-a4b-qat-4bit|load_s|1.2|
gemma4-26b-a4b-qat-4bit|prefill_tps|1302.1|prompt_toks=849
gemma4-26b-a4b-qat-4bit|decode_tps|116.8|ntok=128
gemma4-26b-a4b-qat-4bit|ttft_cold_ms|12304|head=Subsystem 8 appears in log entry 42.
gemma4-26b-a4b-qat-4bit|ttft_warm_ms|425|
gemma4-26b-a4b-qat-4bit|ttft_extend_ms|555|
gemma4-26b-a4b-qat-4bit|ttft_restart_ms|2296|head=Subsystem 8 appears in log entry 42.
qwen36-27b-mtp-4bit|load_s|1.9|
qwen36-27b-mtp-4bit|prefill_tps|233.5|prompt_toks=848
qwen36-27b-mtp-4bit|decode_tps|29.3|ntok=128
qwen36-27b-mtp-4bit|ttft_cold_ms|49791|head=Subsystem 8 appears in log entry 42.
qwen36-27b-mtp-4bit|ttft_warm_ms|130|
qwen36-27b-mtp-4bit|ttft_extend_ms|1353|
qwen36-27b-mtp-4bit|ttft_restart_ms|49503|head=Subsystem 8 appears in log entry 42.
